release_date,movie,production_budget,domestic_gross,genres,studio,foreign_gross,domestic_ROI_percent,domestic_Profit,Seasons,Adventure,,Thriller,Fantasy,History,Comedy,Western,Action,War,Sport,Crime,Horror,Musical,Drama,Music,Animation,Mystery,Biography,Family,Sci-Fi,Romance
2013-03-01,JacktheGiantSlayer,195000000,65187603,"Adventure,Fantasy",WB (NL),132500000,33.42954,-129812397,Spring,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,Furious7,190000000,353007020,"Action,Crime,Thriller",Uni.,"1,163.0",185.79316842105263,163007020,Spring,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-05-16,StarTrekIntoDarkness,190000000,228778661,"Action,Adventure,Sci-Fi",Par.,238600000,120.40982157894736,38778661,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-06-21,WorldWarZ,190000000,202359711,"Action,Adventure,Horror",Par.,337600000,106.50511105263159,12359711,Summer,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-05-10,TheGreatGatsby,190000000,144840419,"Drama,Romance",,,76.23179947368422,-45159581,Spring,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2013-07-12,PacificRim,190000000,101802906,"Action,Adventure,Sci-Fi",WB,309200000,53.580476842105256,-88197094,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-11-25,TheGoodDinosaur,187500000,123087120,,BV,209100000,65.64646400000001,-64412880,Autumn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-22,Brave,185000000,237282182,"Adventure,Animation,Comedy",BV,303200000,128.26063891891891,52282182,Summer,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-03-10,KongSkullIsland,185000000,168052812,"Action,Adventure,Fantasy",WB,398600000,90.83935783783785,-16947188,Spring,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-22,StarTrekBeyond,185000000,158848340,"Action,Adventure,Sci-Fi",Par.,184600000,85.86396756756756,-26151660,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-10-06,BladeRunner2049,185000000,92054159,"Drama,Mystery,Sci-Fi",WB,167200000,49.759004864864856,-92945841,Autumn,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2017-11-03,ThorRagnarok,180000000,315058289,"Action,Adventure,Comedy",BV,538900000,175.03238277777774,135058289,Autumn,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-30,Maleficent,180000000,241407328,"Action,Adventure,Family",BV,517100000,134.11518222222222,61407328,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-11-18,FantasticBeastsandWheretoFindThem,180000000,234037575,"Adventure,Family,Fantasy",,,130.020875,54037575,Autumn,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-07-01,TheLegendofTarzan,180000000,126643061,"Action,Adventure,Drama",WB,230100000,70.35725611111111,-53356939,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-11-23,Hugo,180000000,73864507,"Adventure,Drama,Family",Par.,111900000,41.03583722222222,-106135493,Autumn,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2017-07-21,ValerianandtheCityofaThousandPlanets,180000000,40479370,"Action,Adventure,Fantasy",STX,184700000,22.48853888888889,-139520630,Summer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,JupiterAscending,179000000,47482519,"Action,Adventure,Sci-Fi",WB,136600000,26.5265469273743,-131517481,Winter,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2018-07-27,MissionImpossibleâFallout,178000000,220159104,,,,123.68488988764044,42159104,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,XMenApocalypse,178000000,155442489,"Action,Adventure,Sci-Fi",Fox,388500000,87.32724101123596,-22557511,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2018-08-10,TheMeg,178000000,145443742,,WB,384800000,81.70996741573032,-32556258,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-06,EdgeofTomorrow,178000000,100206256,"Action,Sci-Fi",WB,270300000,56.29564943820225,-77793744,Summer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-04-15,TheJungleBook,175000000,364001123,"Adventure,Drama,Family",,,208.0006417142857,189001123,Spring,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2015-06-19,InsideOut,175000000,356461711,"Adventure,Animation,Comedy",BV,501100000,203.6924062857143,181461711,Summer,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-07-07,SpiderManHomecoming,175000000,334201140,"Action,Adventure,Sci-Fi",Sony,546000000,190.97208,159201140,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-08-05,SuicideSquad,175000000,325100054,"Action,Adventure,Fantasy",WB,421700000,185.77145942857143,150100054,Summer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-22,Coco,175000000,209726015,"Adventure,Animation,Comedy",BV,597400000,119.84343714285713,34726015,Autumn,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018-11-21,RalphBreaksTheInternet,175000000,201091711,,,,114.90954914285713,26091711,Autumn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-16,Cars3,175000000,152901115,,BV,231000000,87.37206571428571,-22098885,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-12,KingArthurLegendoftheSword,175000000,39175066,"Action,Adventure,Drama",WB,109500000,22.385752,-135824934,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-12-25,47Ronin,175000000,38362475,"Action,Adventure,Drama",Uni.,113400000,21.921414285714285,-136637525,Winter,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2018-06-22,JurassicWorldFallenKingdom,170000000,417719760,,Uni.,891800000,245.7175058823529,247719760,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,GuardiansoftheGalaxy,170000000,333172112,"Action,Adventure,Comedy",BV,440200000,195.98359529411763,163172112,Summer,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-07,IronMan2,170000000,312433331,"Action,Adventure,Sci-Fi",Par.,311500000,183.78431235294116,142433331,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-04-04,CaptainAmericaTheWinterSoldier,170000000,259746958,"Action,Adventure,Sci-Fi",BV,454500000,152.79232823529412,89746958,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-07-11,DawnofthePlanetoftheApes,170000000,208545589,"Action,Adventure,Drama",Fox,502100000,122.67387588235296,38545589,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-06-01,SnowWhiteandtheHuntsman,170000000,155136755,"Action,Adventure,Drama",Uni.,241300000,91.25691470588235,-14863245,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-05-22,Tomorrowland,170000000,93436322,"Action,Adventure,Family",BV,115700000,54.96254235294118,-76563678,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-05-27,AliceThroughtheLookingGlass,170000000,77042381,,BV,222400000,45.319047647058824,-92957619,Spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-21,ShrekForeverAfter,165000000,238736787,"Adventure,Animation,Comedy",P/DW,513900000,144.68896181818184,73736787,Spring,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-11-04,DoctorStrange,165000000,232641920,"Action,Adventure,Fantasy",BV,445100000,140.99510303030303,67641920,Autumn,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-07,BigHero6,165000000,222527828,"Action,Adventure,Animation",BV,435300000,134.8653503030303,57527828,Autumn,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-03-26,HowtoTrainYourDragon,165000000,217581232,"Action,Adventure,Animation",P/DW,277300000,131.86741333333333,52581232,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-11-02,WreckItRalph,165000000,189412677,"Adventure,Animation,Comedy",BV,281800000,114.79556181818182,24412677,Autumn,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-11-05,Interstellar,165000000,188017894,"Adventure,Drama,Sci-Fi",Par.,489400000,113.95023878787876,23017894,Autumn,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2016-06-24,IndependenceDayResurgence,165000000,103144286,"Action,Adventure,Sci-Fi",Fox,286500000,62.51168848484848,-61855714,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-07-29,CowboysandAliens,163000000,100368560,,,,61.5758036809816,-62631440,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-17,BeautyandtheBeast,160000000,504014165,"Family,Fantasy,Musical",,,315.0088531250001,344014165,Spring,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2018-12-21,Aquaman,160000000,335061807,,WB,812700000,209.413629375,175061807,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-16,Inception,160000000,292576195,"Action,Adventure,Sci-Fi",WB,535700000,182.860121875,132576195,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-11-20,TheHungerGamesMockingjayPart2,160000000,281723902,"Action,Adventure,Sci-Fi",LGF,371700000,176.07743875,121723902,Autumn,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-05-24,FastandFurious6,160000000,238679850,,,,149.17490625,78679850,Spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-16,Godzilla,160000000,200676069,"Action,Adventure,Sci-Fi",,,125.422543125,40676069,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-06-03,XMenFirstClass,160000000,146408305,"Action,Adventure,Sci-Fi",Fox,207200000,91.505190625,-13591695,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-07-14,TheSorcerersApprentice,160000000,63150991,"Action,Adventure,Family",BV,152100000,39.469369375,-96849009,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-06-10,Warcraft,160000000,47225655,"Action,Adventure,Fantasy",Uni.,386300000,29.516034375,-112774345,Summer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-30,DeepwaterHorizon,156000000,61433527,"Action,Drama,History",LG/S,60400000,39.380466025641034,-94566473,Autumn,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-12-10,TheChroniclesofNarniaTheVoyageoftheDawnTreader,155000000,104386950,"Adventure,Family,Fantasy",Fox,311300000,67.3464193548387,-50613050,Winter,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-07-01,TerminatorGenisys,155000000,89760956,"Action,Adventure,Sci-Fi",Par.,350800000,57.91029419354838,-65239044,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2018-03-23,PacificRimUprising,155000000,59874525,,Uni.,231100000,38.62872580645161,-95125475,Spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-14,WarforthePlanetoftheApes,152000000,146880162,"Action,Adventure,Drama",Fox,343800000,96.6316855263158,-5119838,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-06-02,WonderWoman,150000000,412563408,"Action,Adventure,Fantasy",WB,409300000,275.042272,262563408,Summer,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-22,Frozen,150000000,400738009,"Adventure,Animation,Comedy",BV,875700000,267.1586726666667,250738009,Autumn,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-03-04,Zootopia,150000000,341268248,"Adventure,Animation,Comedy",BV,682500000,227.5121653333333,191268248,Spring,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-11-23,Moana,150000000,248757044,"Adventure,Animation,Comedy",BV,394600000,165.83802933333334,98757044,Autumn,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-11-08,ThorTheDarkWorld,150000000,206362140,"Action,Adventure,Fantasy",BV,438200000,137.57476,56362140,Autumn,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-31,MissionImpossibleâRogueNation,150000000,195042377,,,,130.02825133333334,45042377,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-21,Dunkirk,150000000,190068280,"Action,Drama,History",WB,337200000,126.71218666666664,40068280,Summer,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-05-06,Thor,150000000,181030624,"Action,Adventure,Fantasy",Par.,268300000,120.68708266666664,31030624,Spring,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-26,KungFuPanda2,150000000,165249063,"Action,Adventure,Animation",P/DW,500400000,110.16604199999999,15249063,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-05-15,MadMaxFuryRoad,150000000,153636354,"Action,Adventure,Sci-Fi",WB,224800000,102.424236,3636354,Spring,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2018-03-29,ReadyPlayerOne,150000000,137690172,,WB,445200000,91.793448,-12309828,Spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,TheLastAirbender,150000000,131772187,"Action,Adventure,Family",Par.,187900000,87.84812466666668,-18227813,Summer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
